Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (20, 16), (21, 16), (21, 17), (22, 17), (22, 18), (23, 18), (23, 19), (24, 19), (24, 20)]",335,97,25,Greedy,c2,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (20, 16), (21, 16), (21, 17), (22, 17), (22, 18), (23, 18), (23, 19), (24, 19), (24, 20)]",281,97,25,Greedy,c3,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (20, 16), (21, 16), (21, 17), (22, 17), (22, 18), (23, 18), (23, 19), (24, 19), (24, 20)]",223,97,25,Greedy,c4,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",240,97,25,Greedy,c1,h2
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",335,97,25,Greedy,c2,h2
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",283,97,25,Greedy,c3,h2
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (23, 15), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",235,97,25,Greedy,c4,h2
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (15, 20), (15, 21), (16, 21), (16, 22), (17, 22), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (20, 25), (20, 26), (21, 26), (21, 27)]",160,65,17,Greedy,c1,h1
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (15, 20), (15, 21), (16, 21), (16, 22), (17, 22), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (20, 25), (20, 26), (21, 26), (21, 27)]",195,65,17,Greedy,c2,h1
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (15, 20), (15, 21), (16, 21), (16, 22), (17, 22), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (20, 25), (20, 26), (21, 26), (21, 27)]",174,65,17,Greedy,c3,h1
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (15, 20), (15, 21), (16, 21), (16, 22), (17, 22), (17, 23), (18, 23), (18, 24), (19, 24), (19, 25), (20, 25), (20, 26), (21, 26), (21, 27)]",150,65,17,Greedy,c4,h1
"(14, 18)","(21, 27)","[(14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (21, 19), (21, 20), (21, 21), (21, 22), (21, 23), (21, 24), (21, 25), (21, 26), (21, 27)]",160,65,17,Greedy,c1,h2
"(14, 18)","(21, 27)","[(14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (21, 19), (21, 20), (21, 21), (21, 22), (21, 23), (21, 24), (21, 25), (21, 26), (21, 27)]",195,65,17,Greedy,c2,h2
"(14, 18)","(21, 27)","[(14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (21, 19), (21, 20), (21, 21), (21, 22), (21, 23), (21, 24), (21, 25), (21, 26), (21, 27)]",173,65,17,Greedy,c3,h2
"(14, 18)","(21, 27)","[(14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (21, 19), (21, 20), (21, 21), (21, 22), (21, 23), (21, 24), (21, 25), (21, 26), (21, 27)]",167,65,17,Greedy,c4,h2
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (13, 20), (13, 21), (14, 21), (14, 22), (15, 22), (15, 23)]",170,69,18,Greedy,c1,h1
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (13, 20), (13, 21), (14, 21), (14, 22), (15, 22), (15, 23)]",225,69,18,Greedy,c2,h1
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (13, 20), (13, 21), (14, 21), (14, 22), (15, 22), (15, 23)]",198,69,18,Greedy,c3,h1
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (10, 18), (11, 18), (11, 19), (12, 19), (12, 20), (13, 20), (13, 21), (14, 21), (14, 22), (15, 22), (15, 23)]",168,69,18,Greedy,c4,h1
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21), (15, 22), (15, 23)]",170,69,18,Greedy,c1,h2
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21), (15, 22), (15, 23)]",225,69,18,Greedy,c2,h2
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21), (15, 22), (15, 23)]",195,69,18,Greedy,c3,h2
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21), (15, 22), (15, 23)]",161,69,18,Greedy,c4,h2
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (6, 19), (6, 20), (7, 20), (7, 21), (8, 21), (8, 22), (9, 22), (9, 23), (10, 23), (10, 24)]",110,45,12,Greedy,c1,h1
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (6, 19), (6, 20), (7, 20), (7, 21), (8, 21), (8, 22), (9, 22), (9, 23), (10, 23), (10, 24)]",135,45,12,Greedy,c2,h1
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (6, 19), (6, 20), (7, 20), (7, 21), (8, 21), (8, 22), (9, 22), (9, 23), (10, 23), (10, 24)]",123,45,12,Greedy,c3,h1
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (6, 19), (6, 20), (7, 20), (7, 21), (8, 21), (8, 22), (9, 22), (9, 23), (10, 23), (10, 24)]",105,45,12,Greedy,c4,h1
"(5, 18)","(10, 24)","[(5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (10, 19), (10, 20), (10, 21), (10, 22), (10, 23), (10, 24)]",110,45,12,Greedy,c1,h2
