Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(25, 4)","(7, 25)","[(25, 4), (24, 4), (23, 4), (22, 4), (21, 4), (20, 4), (19, 4), (18, 4), (17, 4), (16, 4), (15, 4), (14, 4), (14, 5), (14, 6), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (12, 11), (12, 12), (12, 13), (12, 14), (12, 15), (12, 16), (11, 16), (11, 17), (11, 18), (11, 19), (10, 19), (9, 19), (9, 20), (9, 21), (9, 22), (8, 22), (8, 23), (8, 24), (7, 24), (7, 25)]",480,1700,868,UCS,c2,h1
"(25, 4)","(7, 25)","[(25, 4), (25, 5), (25, 6), (24, 6), (23, 6), (22, 6), (21, 6), (20, 6), (20, 7), (20, 8), (20, 9), (19, 9), (18, 9), (17, 9), (17, 10), (17, 11), (17, 12), (16, 12), (15, 12), (14, 12), (14, 13), (14, 14), (14, 15), (13, 15), (12, 15), (12, 16), (12, 17), (12, 18), (12, 19), (11, 19), (10, 19), (9, 19), (9, 20), (9, 21), (9, 22), (8, 22), (7, 22), (7, 23), (7, 24), (7, 25)]",407,1707,872,UCS,c3,h1
"(25, 4)","(7, 25)","[(25, 4), (25, 5), (25, 6), (25, 7), (25, 8), (25, 9), (24, 9), (23, 9), (22, 9), (21, 9), (20, 9), (19, 9), (18, 9), (17, 9), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (11, 20), (11, 21), (10, 21), (9, 21), (8, 21), (7, 21), (7, 22), (7, 23), (7, 24), (7, 25)]",336,1715,876,UCS,c4,h1
"(27, 28)","(29, 19)","[(27, 28), (27, 27), (27, 26), (27, 25), (27, 24), (28, 24), (28, 23), (28, 22), (28, 21), (28, 20), (28, 19), (29, 19)]",110,245,121,UCS,c1,h1
"(27, 28)","(29, 19)","[(27, 28), (27, 27), (27, 26), (27, 25), (27, 24), (27, 23), (28, 23), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19)]",120,220,108,UCS,c2,h1
"(27, 28)","(29, 19)","[(27, 28), (27, 27), (27, 26), (27, 25), (27, 24), (28, 24), (28, 23), (28, 22), (28, 21), (28, 20), (28, 19), (29, 19)]",110,239,117,UCS,c3,h1
"(27, 28)","(29, 19)","[(27, 28), (27, 27), (27, 26), (27, 25), (27, 24), (27, 23), (27, 22), (27, 21), (27, 20), (28, 20), (29, 20), (29, 19)]",101,272,135,UCS,c4,h1
"(16, 1)","(22, 17)","[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 5), (17, 6), (17, 7), (17, 8), (18, 8), (18, 9), (18, 10), (18, 11), (18, 12), (18, 13), (19, 13), (19, 14), (20, 14), (21, 14), (22, 14), (22, 15), (22, 16), (22, 17)]",220,967,481,UCS,c1,h1
"(16, 1)","(22, 17)","[(16, 1), (16, 2), (16, 3), (16, 4), (17, 4), (17, 5), (17, 6), (17, 7), (17, 8), (17, 9), (17, 10), (17, 11), (17, 12), (17, 13), (17, 14), (18, 14), (19, 14), (19, 15), (20, 15), (20, 16), (20, 17), (21, 17), (22, 17)]",250,945,464,UCS,c2,h1
"(16, 1)","(22, 17)","[(16, 1), (16, 2), (16, 3), (16, 4), (17, 4), (18, 4), (19, 4), (19, 5), (19, 6), (19, 7), (19, 8), (20, 8), (20, 9), (20, 10), (20, 11), (20, 12), (20, 13), (21, 13), (22, 13), (22, 14), (22, 15), (22, 16), (22, 17)]",223,958,474,UCS,c3,h1
"(16, 1)","(22, 17)","[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (17, 9), (18, 9), (19, 9), (20, 9), (20, 10), (20, 11), (20, 12), (20, 13), (20, 14), (20, 15), (20, 16), (20, 17), (21, 17), (22, 17)]",195,986,493,UCS,c4,h1
"(18, 25)","(6, 7)","[(18, 25), (17, 25), (16, 25), (16, 24), (16, 23), (16, 22), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (12, 20), (12, 19), (11, 19), (10, 19), (10, 18), (9, 18), (8, 18), (7, 18), (6, 18), (6, 17), (6, 16), (6, 15), (6, 14), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (6, 8), (6, 7)]",300,1636,828,UCS,c1,h1
"(18, 25)","(6, 7)","[(18, 25), (18, 24), (17, 24), (16, 24), (15, 24), (15, 23), (14, 23), (14, 22), (13, 22), (12, 22), (12, 21), (12, 20), (11, 20), (10, 20), (9, 20), (9, 19), (9, 18), (9, 17), (9, 16), (8, 16), (8, 15), (7, 15), (7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (6, 10), (6, 9), (6, 8), (6, 7)]",360,1653,838,UCS,c2,h1
"(18, 25)","(6, 7)","[(18, 25), (18, 24), (18, 23), (18, 22), (17, 22), (16, 22), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (14, 18), (13, 18), (13, 17), (13, 16), (13, 15), (13, 14), (12, 14), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (8, 9), (8, 8), (8, 7), (7, 7), (6, 7)]",308,1646,833,UCS,c3,h1
"(18, 25)","(6, 7)","[(18, 25), (18, 24), (18, 23), (18, 22), (18, 21), (18, 20), (17, 20), (16, 20), (15, 20), (14, 20), (13, 20), (12, 20), (11, 20), (10, 20), (10, 19), (10, 18), (10, 17), (10, 16), (10, 15), (10, 14), (10, 13), (9, 13), (8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (6, 8), (6, 7)]",262,1621,819,UCS,c4,h1
"(22, 9)","(4, 27)","[(22, 9), (21, 9), (20, 9), (19, 9), (18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (7, 15), (7, 16), (7, 17), (6, 17), (6, 18), (6, 19), (5, 19), (5, 20), (5, 21), (5, 22), (4, 22), (4, 23), (4, 24), (4, 25), (4, 26), (4, 27)]",360,1817,933,UCS,c1,h1
